site_id,tag,fg_declared,bg_declared,fg_composited,bg_composited,naive_cr,extended_cr,aa_naive,aa_extended,false_pos,false_neg
1,a,"rgb(255, 255, 255)","rgb(11, 87, 208)","rgb(255,255,255)","rgb(11,87,208)",6.39,6.39,1,1,0,0
1,div,"rgb(31, 31, 31)","rgb(255, 255, 255)","rgb(31,31,31)","rgb(255,255,255)",16.48,16.48,1,1,0,0
1,div,"rgb(31, 31, 31)","rgb(243, 245, 246)","rgb(31,31,31)","rgb(243,245,246)",15.07,15.07,1,1,0,0
1,div,"rgb(11, 87, 208)","rgb(232, 240, 254)","rgb(11,87,208)","rgb(232,240,254)",5.57,5.57,1,1,0,0
1,div,"rgb(11, 87, 208)","rgb(255, 255, 255)","rgb(11,87,208)","rgb(255,255,255)",6.39,6.39,1,1,0,0
1,div,"rgb(71, 71, 71)","rgb(241, 243, 244)","rgb(71,71,71)","rgb(241,243,244)",8.35,8.35,1,1,0,0
3,a,"rgb(255, 255, 255)","rgb(255, 94, 31)","rgb(255,255,255)","rgb(255,94,31)",3.06,3.06,0,0,0,0
3,section,"rgb(38, 38, 38)","rgb(255, 255, 255)","rgb(38,38,38)","rgb(255,255,255)",15.13,15.13,1,1,0,0
3,div,"rgb(38, 38, 38)","rgb(255, 94, 31)","rgb(38,38,38)","rgb(255,94,31)",4.95,4.95,1,1,0,0
3,a,"rgb(31, 31, 31)","rgb(255, 255, 255)","rgb(31,31,31)","rgb(255,255,255)",16.48,16.48,1,1,0,0
3,div,"rgb(38, 38, 38)","rgb(253, 253, 252)","rgb(38,38,38)","rgb(253,253,252)",14.87,14.87,1,1,0,0
3,a,"rgb(255, 255, 255)","rgb(255, 112, 56)","rgb(255,255,255)","rgb(255,112,56)",2.75,2.75,0,0,0,0
3,button,"rgb(255, 94, 31)","rgb(255, 255, 255)","rgb(255,94,31)","rgb(255,255,255)",3.06,3.06,0,0,0,0
5,div,"rgb(28, 30, 33)","rgb(255, 255, 255)","rgb(28,30,33)","rgb(255,255,255)",16.71,16.71,1,1,0,0
5,div,"rgb(28, 30, 33)","rgba(255, 255, 255, 0.2)","rgb(28,30,33)","rgb(255,255,255)",16.71,16.71,1,1,0,0
5,div,"rgb(28, 30, 33)","rgb(0, 100, 224)","rgb(28,30,33)","rgb(0,100,224)",3.1,3.1,0,0,0,0
5,div,"rgb(56, 88, 152)","rgba(255, 255, 255, 0.2)","rgb(56,88,152)","rgb(255,255,255)",6.96,6.96,1,1,0,0
5,div,"rgb(28, 30, 33)","rgb(228, 230, 235)","rgb(28,30,33)","rgb(228,230,235)",13.38,13.38,1,1,0,0
6,div,"rgb(0, 0, 0)","rgb(242, 242, 242)","rgb(0,0,0)","rgb(242,242,242)",18.76,18.76,1,1,0,0
6,button,"rgb(0, 0, 0)","rgb(235, 235, 235)","rgb(0,0,0)","rgb(235,235,235)",17.62,17.62,1,1,0,0
6,a,"rgb(14, 23, 38)","rgb(255, 255, 255)","rgb(14,23,38)","rgb(255,255,255)",17.96,17.96,1,1,0,0
6,a,"rgb(255, 255, 255)","rgb(0, 120, 212)","rgb(255,255,255)","rgb(0,120,212)",4.53,4.53,1,1,0,0
8,div,"rgb(0, 0, 0)","rgb(255, 255, 255)","rgb(0,0,0)","rgb(255,255,255)",21,21,1,1,0,0
8,button,"rgb(15, 15, 15)","rgba(0, 0, 0, 0.05)","rgb(15,15,15)","rgb(242,242,242)",1.1,17.16,0,1,0,1
8,button,"rgb(255, 255, 255)","rgb(15, 15, 15)","rgb(255,255,255)","rgb(15,15,15)",19.17,19.17,1,1,0,0
9,button,"rgb(84, 91, 100)","rgb(201, 81, 0)","rgb(84,91,100)","rgb(201,81,0)",1.52,1.52,0,0,0,0
9,button,"rgb(84, 91, 100)","rgb(255, 255, 255)","rgb(84,91,100)","rgb(255,255,255)",6.87,6.87,1,1,0,0
9,a,"rgb(9, 114, 211)","rgb(255, 255, 255)","rgb(9,114,211)","rgb(255,255,255)",4.82,4.82,1,1,0,0
9,div,"rgb(51, 51, 51)","rgb(255, 255, 255)","rgb(51,51,51)","rgb(255,255,255)",12.63,12.63,1,1,0,0
9,div,"rgb(51, 51, 51)","rgb(35, 43, 55)","rgb(51,51,51)","rgb(35,43,55)",1.13,1.13,0,0,0,0
9,div,"rgb(51, 51, 51)","rgba(6, 8, 10, 0.5)","rgb(51,51,51)","rgb(131,132,133)",1.59,3.35,0,0,0,0
9,a,"rgb(9, 114, 211)","rgb(22, 29, 38)","rgb(9,114,211)","rgb(22,29,38)",3.52,3.52,0,0,0,0
9,div,"rgb(51, 51, 51)","rgb(243, 243, 247)","rgb(51,51,51)","rgb(243,243,247)",11.42,11.42,1,1,0,0
9,span,"rgb(22, 29, 38)","rgba(255, 255, 255, 0.75)","rgb(22,29,38)","rgb(255,255,255)",16.96,16.96,1,1,0,0
9,div,"rgb(9, 114, 211)","rgb(243, 243, 247)","rgb(9,114,211)","rgb(243,243,247)",4.35,4.35,0,0,0,0
9,div,"rgb(51, 51, 51)","rgb(27, 35, 45)","rgb(51,51,51)","rgb(27,35,45)",1.25,1.25,0,0,0,0
9,div,"rgb(9, 114, 211)","rgb(51, 56, 67)","rgb(9,114,211)","rgb(51,56,67)",2.44,2.44,0,0,0,0
